상담회아이디,상담회주소,년,달,일,업체명,업종,설립년도,주소,홈페이지
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,ChuniL Foods Co.,제조업,1974,"7-19, Gangnam-daero 27-gil, Seocho-gu, Seoul",www.chunilfood.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"[K26] PALDO CO., LTD","면, 음료 제조",1969,"577 GANGNAMDAERO, SEOCHO-GU, SEOUL, KOREA",www.paldofood.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,DAESEONG F&D,면류,1997,"951, Sannae-ro, Dong-gu, Daejeon, Republic of Korea",www.dsfnd.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"worldfood co.,ltd",도매업및소매업,2000,"45-78, yonggu-dae",www.murgerbon.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,BIOPOLYTECH,기능식품연구개발,2004,"(songjeong-dong) 714, 134, Gongdan-ro, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Korea",www.biopolytech.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Hankook Tea Co.,차류,1951,,www.hankooktea.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"ROC.CO.,Ltd","건강컨텐츠 연구개발, 식품, 무역",2016,"3, Munhwachon-ro, Pyeongtaek-si, Gyeonggi-do",www.exstore.kr / www.baoshop.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Global Deep Sea Water co,.Ltd","해양심층수 제품, 해양심층수",2007,"74-24, Donghae-daero 3930beon-gil, Sokcho-si, Gangwon-do, Republic of Korea",deeps.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"KOPA, INC.",도소매 농산물무역업 농산물,2012,"(D-202) 33, Yutongdanji-ro, Jung-ri, Naeseo-eup, Masanhoewon-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea",http://www.kopap.co.kr/
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,MoonGyeong Omija Valley Co.,제조및 생산,2009,2371-5 Yeowoomok-ro Dongro-ro Munkyeong-si Gyeongsangbuk-do,www.omijamall.co.kr
