번호,제목,카테고리,국가명,제공기관명,신청시작일,신청종료일,country_iso
64,"싱가포르 바이어가 현지 레스토랑 및 식품점에 납품 가능한 할랄(Halal) 인증 식품(고추장 갈비양념 등 소스류 / 라면, 비빔밥, 김치 등 키트,완제)을 찾고 있습니다.",농업 및 식품 (Agriculture & Food),싱가포르,중소벤처기업진흥공단,2024-03-06,2024-03-14,SG
65,말레이시아 바이어가 기초 스킨케어 제품(Basic skincare products) 공급자를 찾고 있습니다.,건강 및 미용 (Health & Beauty),말레이시아,중소벤처기업진흥공단,2024-03-07,2024-03-07,MY
66,"홍콩 바이어가 &apos;기능성 화장품(병풀[centella asiatica]성분 필수, 피부재생 탁월 &amp; 강력한 보습력) 제품을 찾고 있습니다.",건강 및 미용 (Health & Beauty),홍콩,중소벤처기업진흥공단,2024-03-08,2024-03-14,HK
67,뉴질랜드 바이어가 천연가죽 아이폰 폰케이스를 찾고 있습니다.,"가방, 신발 및 액세서리 (Bags, Shoes & Accessories)",뉴질랜드,중소벤처기업진흥공단,2024-03-11,2024-03-18,NZ
68,세르비아 바이어가 히알루론산 필러(Hyaluronic Acid Filler) 의  공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),세르비아,중소벤처기업진흥공단,2024-03-12,2024-04-10,
69,캐나다 바이어가 스파용 두피 관리 기계 (Scalp Treatment Machine for Spa) 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),캐나다,중소벤처기업진흥공단,2024-03-12,2024-03-29,CA
70,필리핀 바이어가 냉매축적기(REFRIGERANT ACCUMULATOR)공급사를 찾고 있습니다.,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",필리핀,중소벤처기업진흥공단,2024-03-12,2024-03-26,PH
71,싱가포르 바이어가 유아용 (9개월 이상) 비건 파스타 소스 제조사를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),싱가포르,중소벤처기업진흥공단,2024-03-13,2024-03-20,SG
72,아랍에미리트 바이어가  음압 상처 치료 장치 (negative pressure wound healing device) 제조공급업체를 찾고 계십니다.,건강 및 미용 (Health & Beauty),아랍에미리트,중소벤처기업진흥공단,2024-03-29,2024-04-18,AE
73,아랍에미리트 바이어가  상처용 치료용  실리콘 패치 (Silicon Patch for Scar) 제조공급업체를 찾고 계십니다.,건강 및 미용 (Health & Beauty),아랍에미리트,중소벤처기업진흥공단,2024-03-29,2024-04-18,AE
74,미국 바이어가 오가닉 또는 종이 재질 가방의 에코백을 찾고 있습니다.,"가방, 신발 및 액세서리 (Bags, Shoes & Accessories)",미국,중소벤처기업진흥공단,2024-03-14,2024-03-21,US
75,인도 바이어가 자동차용 악세사리 및 자동차 실내용 스마트 디스플레이 공급업체를 찾고 있습니다.,전자제품 (Electronics),인도,중소벤처기업진흥공단,2024-03-14,2024-03-26,IN
76,포르투갈 바이어가 &apos;에세틱샵용 뷰티 디바이스(Beauty device for esthetic shop)&apos; 제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),포르투갈,중소벤처기업진흥공단,2024-03-19,2024-03-26,
77,미국 바이어가 헬로키티와 디즈니 캐릭터  라이센스를 가지고 있는 학용품회사를 찾고 있습니다.,"포장, 광고 및 사무 (Packaging, Advertising & Office)",미국,중소벤처기업진흥공단,2024-03-19,2024-03-26,US
